,years_for_full,full_population_mean,target_agents_mean,total_affected_mean,m694v_homozigotes_mean,compound_mean,n_allele_mean,carrier_births_mean,affected_births_mean,normal_births_mean,full_population_ci_low,target_agents_ci_low,total_affected_ci_low,m694v_homozigotes_ci_low,compound_ci_low,n_allele_ci_low,carrier_births_ci_low,affected_births_ci_low,normal_births_ci_low,full_population_ci_high,target_agents_ci_high,total_affected_ci_high,m694v_homozigotes_ci_high,compound_ci_high,n_allele_ci_high,carrier_births_ci_high,affected_births_ci_high,normal_births_ci_high
50,2000,80948.36,59818.44,318.16,38.2,193.84,78.64,10940.56,571.0,52618.0,80679.04330737334,59574.61463241541,311.2315732694933,35.15515824165962,188.81908338779994,74.66827065037575,10854.555366757986,560.5750844607738,52406.22909729616,81217.67669262666,60062.265367584594,325.08842673050674,41.244841758340385,198.86091661220007,82.61172934962426,11026.564633242013,581.4249155392262,52829.77090270384
51,2001,80702.24,59310.64,318.8,38.8,194.08,78.44,11049.68,576.92,53155.12,80431.58833480378,59069.90104007447,311.90555315247605,35.812473040567944,188.71838187608753,74.53951792381164,10961.964381513288,566.7305633992845,52941.58098124767,80972.89166519624,59551.37895992553,325.694446847524,41.78752695943205,199.4416181239125,82.34048207618835,11137.395618486713,587.1094366007154,53368.65901875233
52,2002,80432.48,58668.32,316.68,38.92,193.04,77.44,11163.24,582.84,53700.24,80162.8095429344,58434.51741949847,309.4114912230912,35.93908119757236,187.2064832882157,73.59240467824382,11073.75193762205,572.5556451040104,53487.37556939961,80702.1504570656,58902.12258050153,323.9485087769088,41.90091880242765,198.87351671178428,81.28759532175617,11252.72806237795,593.1243548959897,53913.10443060038
53,2003,80188.12,58071.24,314.56,38.76,192.64,76.16,11285.2,588.8,54294.8,79917.92716176952,57844.38155625113,307.4083899882614,35.95763406624569,186.54203711392074,72.81901916198251,11195.428291197431,578.2093477695344,54078.87331356531,80458.31283823047,58298.098443748866,321.7116100117386,41.56236593375431,198.73796288607923,79.50098083801748,11374.97170880257,599.3906522304655,54510.7266864347
54,2004,80019.48,57521.76,313.0,38.48,191.12,76.4,11415.96,595.64,54935.4,79747.31387680687,57300.907589634706,305.6978490840027,35.74975447257943,184.9319434090069,73.00518041716501,11325.225301882025,585.1161323003374,54715.47160904816,80291.64612319312,57742.6124103653,320.3021509159973,41.21024552742056,197.30805659099312,79.794819582835,11506.694698117974,606.1638676996625,55155.32839095184
55,2005,79762.24,56890.4,311.0,38.32,189.96,75.8,11537.12,601.92,55529.56,79492.71958636344,56672.66246582946,304.4620949328805,35.63086857145286,184.12538582595215,72.64974075140896,11443.923747047571,591.457736148105,55309.62613363613,80031.76041363657,57108.13753417054,317.5379050671195,41.00913142854714,195.79461417404787,78.95025924859104,11630.31625295243,612.3822638518949,55749.49386636387
56,2006,79498.96,56266.08,309.2,38.32,188.8,75.24,11662.28,608.76,56145.24,79225.80545525554,56050.73890752985,302.5562071073821,35.35242795538171,182.97030406739196,72.19667262797225,11568.093789841047,598.4299260331786,55921.88282019115,79772.11454474447,56481.421092470155,315.8437928926179,41.287572044618294,194.62969593260806,78.28332737202774,11756.466210158955,619.0900739668214,56368.59717980884
57,2007,79301.6,55681.96,305.68,38.08,186.32,74.6,11798.04,616.08,56808.12,79024.86211273,55471.11250525583,299.25997020983027,35.1249682054728,180.32812473650083,71.47832438157539,11703.14910915569,605.1707496328422,56581.548597117,79578.33788727001,55892.80749474417,312.10002979016974,41.0350317945272,192.31187526349916,77.7216756184246,11892.93089084431,626.9892503671579,57034.69140288301
58,2008,79083.48,55071.24,302.44,37.64,184.4,73.92,11931.52,622.48,57469.08,78805.16827905271,54864.26689918697,295.4303574679826,34.54949162326541,177.8396093612245,70.71150135213784,11835.134945193908,610.9808953113732,57239.8585538955,79361.79172094728,55278.21310081302,309.4496425320174,40.73050837673459,190.96039063877552,77.12849864786216,12027.905054806093,633.9791046886269,57698.3014461045
59,2009,78912.8,54555.52,298.56,37.24,182.2,72.64,12078.36,630.36,58188.96,78630.5955726121,54349.57715250915,291.6701237243813,34.20721005892814,175.49672358718016,69.45964204949611,11980.411046467936,618.666676576211,57955.4082422362,79195.0044273879,54761.462847490846,305.4498762756187,40.27278994107186,188.90327641281982,75.82035795050389,12176.308953532065,642.053323423789,58422.5117577638
